Provincia,Año 2021,Votantes,Puntos x tot,Puntos x vot,Votos JXC,Voto FdT,Partido que ganó
Ciudad Autónoma de Buenos Aires,3.078.836,1.777.562,31,18,"841.205,00","430.467,00",JxC
Buenos Aires,17.709.598,8.434.037,177,84,"3.149.989,00","2.789.022,00",JxC
Catamarca,"418.991,000",180.323,4,2,"54.919,00","90.555,00",FdT
Chaco,1.216.247,571.728,12,6,"247.466,00","199.984,00",JxC
Chubut,"629.181,000",292.257,6,3,"107.842,00","72.123,00",JxC
Córdoba,3.798.261,1.872.334,38,19,"864.380,00","446.545,00",JxC
Corrientes,1.130.320,570211,11,6,"329.354,00","190.966,00",JxC
Entre Ríos,1.398.510,800.807,14,8,"398.655,00","227.242,00",JxC
Formosa,"610.019,000",317.396,6,3,"90.083,00","150.154,00",FdT
Jujuy,"779.212,000",363.936,8,4,"162.490,00","99.134,00",JxC
La Pampa,"361.394,000",198.936,4,2,"93.386,00","73.328,00",JxC
La Rioja,"398.648,000",182.167,4,2,"40.714,00","91.855,00",FdT
Mendoza,2.010.363,1.023.775,20,10,"424.671,00","148.614,00",JxC
Misiones,1.274.992,618.267,13,6,"243.295,00","197.494,00",JxC
Neuquén,672.461,393.308,7,4,"66.687,00","56.747,00",JxC
Río Negro,757.052,376.195,8,4,"95.443,00","88.224,00",JxC
Salta,1.441.988,605.097,14,6,"170.156,00","172.550,00",FdT
San Juan,789.489,385.008,8,4,"142.781,00","160.103,00",FdT
San Luis,514.61,264.661,5,3,"118.774,00","5.166,00",JxC
Santa Cruz,374.756,162.025,4,2,"58.504,00","40.111,00",JxC
Santa Fe,3.563.390,1.755.606,36,18,"664.917,00","482.872,00",JxC
Santiago del Estero,988.245,530.333,10,5,"81.201,00","289.204,00",FdT
Tierra del Fuego. Antártida e Islas del Atlántico Sur,177.697,101.464,2,1,"33.562,00","30.343,00",JxC
Tucumán,1.714.487,988.167,17,10,"336.567,00","479.786,00",FdT
