Provincia,Partido,Cantidad,Votantes,Porcentaje,Puntos JxC,Puntos FdT
CABA,JxC,841205.00,1.777.562,"47,32","31,00",0.00
CABA,FdT,430467.00,1.777.562,"24,22",,
Buenos Aires,JxC,3149989.00,8.434.037,"37,35","177,00",0.00
Buenos Aires,FdT,2789022.00,8.434.037,"33,07",,
Catamarca,JxC,54919.00,180.32,"30,46","0,00","4,00"
Catamarca,FdT,90555.00,180.32,"50,22",,
Chaco,JxC,247466.00,571.73,"43,28","12,00",0.00
Chaco,FdT,199984.00,571.73,"34,98",,
Chubut,JxC,107842.00,292.26,"36,90","6,00",0.00
Chubut,FdT,72123.00,292.26,"24,68",,
Cordoba,JxC,864380.00,1.872.334,"46,17","38,00",0.00
Cordoba,FdT,446545.00,1.872.334,"23,85",,
Corrientes,JxC,329354.00,570.21,"57,76","11,00",0.00
Corrientes,FdT,190966.00,570.21,"33,49",,
Entre Rios,JxC,398655.00,800.81,"49,78","14,00",0.00
Entre Rios,FdT,227242.00,800.81,"28,38",,
Formosa,JxC,90083.00,317.40,"28,38","0,00",6.00
Formosa,FdT,150154.00,317.40,"47,31",,
Jujuy,JxC,162490.00,363.94,"44,65","8,00",0.00
Jujuy,FdT,99134.00,363.94,"27,24",,
La Pampa,JxC,93386.00,198.94,"46,94","4,00",0.00
La Pampa,FdT,73328.00,198.94,"36,86",,
La Rioja,JxC,40714.00,182.17,"22,35","0,00",4.00
La Rioja,FdT,91855.00,182.17,"50,42",,
Mendoza,JxC,424671.00,1.023.775,"41,48","20,00",0.00
Mendoza,FdT,148614.00,1.023.775,"14,52",,
Misiones,JxC,243295.00,618.27,"39,35","13,00",0.00
Misiones,FdT,197494.00,618.27,"31,94",,
Neuquen,JxC,66687.00,393.31,"16,96","7,00",0.00
Neuquen,FdT,56747.00,393.31,"14,43",,
Rio Negro,JxC,95443.00,376.20,"25,37","8,00",0.00
Rio Negro,FdT,88224.00,376.20,"23,45",,
Salta,JxC,170156.00,605.10,"28,12","0,00",14.00
Salta,FdT,172550.00,605.10,"28,52",,
San Juan,JxC,142781.00,385.01,"37,09","0,00",8.00
San Juan,FdT,160103.00,385.01,"41,58",,
San Luis,JxC,118774.00,264.66,"44,88","5,00",0.00
San Luis,FdT,5166.00,264.66,"1,95",,
Santa Cruz,JxC,58504.00,162.03,"36,11","4,00",0.00
Santa Cruz,FdT,40111.00,162.03,"24,76",,
Santa Fe,JxC,664917.00,1.755.606,"37,87","36,00",0.00
Santa Fe,FdT,482872.00,1.755.606,"27,50",,
Santiago del Estero,JxC,81201.00,530.33,"15,31","0,00",10.00
Santiago del Estero,FdT,289204.00,530.33,"54,53",,
Tierra del Fuego,JxC,33562.00,101.46,"33,08","2,00",0.00
Tierra del Fuego,FdT,30343.00,101.46,"29,91",,
Tucuman,JxC,336567.00,988.17,"34,06","0,00",17.00
Tucuman,FdT,479786.00,988.17,"48,55",,
